                                     
   ###################   #########   
   #.................#   #.......#   
   #.................#...#.......#   
   #.................#   #.......#   
   #.................#   #####.###   
   #.................#        .      
   ####.##############        .      
       .                      .      
       .                      .      
       .                      .      
       ........................      
       .                      .      
       .                      .      
       .                      .      
       .                ######.##### 
   ####.######          #..........# 
   #.........#          #..........# 
   #...............................# 
   #.........#          #..........# 
   #.........#          #..........# 
   ###########          ############ 
                                     
